day,mean_nav,p5_nav,p95_nav
249,607.324850369729,477.78853718575147,752.8410356072112
250,607.6270883048894,477.25626325176944,759.3703116292176
251,607.5665423339196,476.1121370886667,757.7928327046313
252,607.7631850361785,478.9775354893404,755.1125618388561
253,607.6330676939477,477.8137672607519,759.3124405501676
254,607.9191968134409,475.0949518714979,760.1570274295968
255,608.1084484502139,476.8774460584835,761.8071184781024
256,607.9023417918523,476.4102198550178,762.9884921412852
257,607.7114721437446,475.76141764170853,763.6185542059818
258,607.7372973916738,472.44368549085334,761.3270274486191
259,607.8874772412222,475.80915658708534,764.037438400128
260,607.8939547636608,472.1720671501574,761.5558654013269
261,607.7816594321695,472.0742307922621,764.4903661345679
262,607.9747842976684,473.82152188744533,766.349642600286
263,607.8312823672145,473.65907431377843,766.5943703264679
264,607.9049779599814,475.0411890925626,764.1058627907539
265,607.8091305046423,471.8643995614212,767.5730720100247
266,608.2790419424474,471.5182166658963,768.4458036510275
267,608.1924521338742,472.8810067223182,768.9873402177665
268,608.3776507535692,472.36656093493974,767.911082747856
269,608.4075701902881,472.31852787267974,766.4850146223253
270,608.4341025764556,472.7341663552836,766.2172402849288
271,608.616546657729,471.870363592485,768.144385151696
272,608.7130979983775,471.6649140218449,766.0047422537519
273,608.8737223619161,469.9339977039586,764.4379988946415
274,608.8014228878841,474.09477072289815,769.4397028319942
275,608.5977584922286,469.7789815633451,773.2777929352326
276,609.266783159487,470.3672573744004,774.5090512477304
277,609.291626521774,469.1800580033645,775.5421388856832
278,609.011517033647,469.1418955984615,772.6159033574277
279,609.198285316173,466.976612666111,776.2752145512851
280,609.0696314595757,467.4731338753496,773.2503497969637
281,609.2431764793685,468.94214790165347,779.2587544712907
282,608.9903499544812,469.9537496580227,773.4300080872496
283,608.9495205552034,466.94715165067413,771.5171365077422
284,608.8536191619221,467.13070723267674,769.9999256344436
285,608.6797798702455,469.30027076860364,768.1370350751238
286,608.7100373128837,470.00259020925176,772.5352554970164
287,609.2477900685524,468.873406931108,773.0533225800739
288,609.4444833158524,470.0298426293245,775.3320419781694
289,609.2628879874745,470.5139305352995,774.1454148851002
290,609.3106400049305,471.8077638419588,778.2601442417521
291,609.4047610787559,471.94006642744273,777.7196621063043
292,609.2526278034562,469.88342306806646,773.8921071623729
293,609.548019944123,469.6355731530453,778.5534615582675
294,610.0413922997708,470.7383287400016,773.2859849874644
295,610.2850292257046,472.5725328141889,769.3279794646563
296,610.3312462130798,473.5223786008062,767.7778603993204
297,610.4262269244897,470.27243239431965,768.4895675494191
298,610.8109564710645,467.49931338642574,771.1796887088586
299,611.0084017681847,468.62960432417583,769.4218454061742
300,610.9843615043353,467.0228310508861,773.3086458764258
301,611.2672468796553,469.0655538812556,778.4175502678864
302,611.1221142044383,467.47824439896493,777.9135042977597
303,611.1659959768851,468.1331480900706,775.8993636640074
304,610.8842867174887,467.20904540133586,775.6388538999955
305,611.1165594820919,466.8340398878839,778.2289834221812
306,611.2202821321048,467.60943015733716,779.7192782753211
307,611.370411274138,466.31797684051105,777.4338967481496
308,611.6067449874113,467.0591635728338,780.4432259651148
309,611.4876258259819,465.37220866497614,776.0372639495846
310,611.8087534483658,463.8408861875757,781.4437891006988
311,611.9833607086249,466.0423979473097,782.1634661097943
312,611.9983917861435,463.6313350875371,780.8273776065365
313,612.0321073669593,465.69610465998755,780.6202726482326
314,612.2449409864146,463.17482037603025,780.2601802350396
315,612.5579831940257,464.87291998232934,779.773001005312
316,612.8846606583596,463.27298322583005,786.7441107394983
317,612.9473620513244,464.0738860015943,787.3821270735905
318,612.9380135724916,461.86594150221987,789.6401795807019
